"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"195"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	10	4	0	1	"3"
"196"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	11	40	0	0	"1"
"197"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	12	15	0	1	"2"
"198"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	13	8	0	1	"3"
"199"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	14	40	0	0	"1"
"200"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	15	40	0	0	"1"
"201"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	6	40	0	0	"1"
"202"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	7	40	0	0	"1"
"203"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	8	40	0	0	"1"
"204"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	9	40	0	0	"1"
"205"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	10	40	0	0	"1"
"206"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	11	40	0	0	"1"
"207"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	12	40	0	0	"1"
"208"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	13	15	0	0	"1"
"209"	"VIC"	"62"	2019-05-16	1899-12-31 08:30:00	"cc-cs-2"	"cc-cs"	14	10	1	1	"4"
